,collection_name,repository_name,repository_user,repository_link,no_of_stars,no_of_forks,programming_lang,repository_desc
241,Getting started with machine learning,umutisik,Eigentechno,https://github.com/umutisik/Eigentechno,726,45,Jupyter Notebook,Principal Component Analysis on music loops
242,Getting started with machine learning,jpmckinney,tf-idf-similarity,https://github.com/jpmckinney/tf-idf-similarity,665,62,Ruby,Ruby gem to calculate the similarity between texts using tf*idf
243,Getting started with machine learning,scikit-learn-contrib,lightning,https://github.com/scikit-learn-contrib/lightning,1654,205,Python,"Large-scale linear classification, regression and ranking in Python"
244,Getting started with machine learning,gwding,draw_convnet,https://github.com/gwding/draw_convnet,2424,500,Python,No Description
245,Getting started with machine learning,scikit-learn,scikit-learn,https://github.com/scikit-learn/scikit-learn,54577,24329,Python,scikit-learn: machine learning in Python
246,Getting started with machine learning,tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,175492,88449,C++,An Open Source Machine Learning Framework for Everyone
247,Getting started with machine learning,activeloopai,deeplake,https://github.com/activeloopai/deeplake,6143,476,Python,"Database for AI. Store Vectors, Images, Texts, Videos, etc. Use with LLMs/LangChain. Store, query, version, & visualize any AI data. Stream data in real-time to PyTorch/TensorFlow. https://activelo…"
248,Made in Africa,acekyd,made-in-nigeria,https://github.com/acekyd/made-in-nigeria,890,369,TypeScript,Here is a curation of awesome tools built by Nigerians that can be used by anybody and from anywhere in the world.
249,Made in Africa,frontlinesms,frontlinesms2,https://github.com/frontlinesms/frontlinesms2,217,60,Groovy,FrontlineSMS is desktop/cloud based software created to lower barriers to positive social change using mobile technology
250,Made in Africa,ushahidi,SMSSync,https://github.com/ushahidi/SMSSync,1080,500,Java,SMS gateway for Android powered phones
251,Made in Africa,praekeltfoundation,vumi,https://github.com/praekeltfoundation/vumi,411,132,Python,"Messaging engine for the delivery of SMS, Star Menu and chat messages to diverse audiences in emerging markets and beyond."
252,Made in Africa,rapidpro,rapidpro,https://github.com/rapidpro/rapidpro,817,387,JavaScript,RapidPro allows organizations to visually build scalable interactive messaging applications.
253,Made in Africa,pluspeople,pesaPi,https://github.com/pluspeople/pesaPi,373,249,PHP,"PesaPI is an API for mobile money systems across Africa. Using PesaPI you can save considerable time and effort when integrating mobile money systems into your application, making it easy for your …"
254,Made in Africa,praekeltfoundation,junebug,https://github.com/praekeltfoundation/junebug,97,23,Python,A system for managing text messaging transports with via RESTful HTTP interface.
255,Made in Africa,chisimba,chisimba,https://github.com/chisimba/chisimba,148,28,JavaScript,Chisimba is the product of a collaboration of the 13 African universities involved in the African Virtual Open Initiatives and Resources (AVOIR) project. Its main purpose is to foster capacity buil…
256,Made in Africa,OpenInstitute,OpenDuka,https://github.com/OpenInstitute/OpenDuka,156,41,PHP,"Open Duka is a project designed by the Open Institute that will provide a freely accessible database of information on Kenyan entities. This information will provide citizens, journalists, and civi…"
257,Made in Africa,CodeForAfrica,GotToVote,https://github.com/CodeForAfrica/GotToVote,200,71,JavaScript,GotToVote is a toolkit of simple web and SMS services that help citizens get to the ballot box informed and ready to vote. Kenya version accessible at https://kenya.gottovote.cc
258,Made in Africa,universalcore,elastic-git,https://github.com/universalcore/elastic-git,143,12,Python,"Store data in Git, find it in Elasticsearch."
259,Made in Africa,nyaruka,smartmin,https://github.com/nyaruka/smartmin,197,31,Python,Django Smartmin - An admin-like utility for users
260,Made in Africa,gernest,utron,https://github.com/gernest/utron,2219,166,Go,A lightweight MVC framework for Go(Golang)
261,Made in Africa,ushahidi,platform,https://github.com/ushahidi/platform,645,399,PHP,Ushahidi Platform API version 3+
262,Made in Africa,Yorubaname,yorubaname-website,https://github.com/Yorubaname/yorubaname-website,128,54,Java,Source code for YorubaName dictionary
263,Made in Africa,codedivoire,made-in-ci,https://github.com/codedivoire/made-in-ci,39,19,not specified,Repertoire du code Made in CI
264,Made in Africa,beopencloud,cno,https://github.com/beopencloud/cno,27,10,Shell,An open source platform to onboard easily and securely organizational teams on multi-cloud Kubernetes clusters from a single console.
265,Made in Africa,javascriptdata,danfojs,https://github.com/javascriptdata/danfojs,4233,187,TypeScript,"Danfo.js is an open source, JavaScript library providing high performance, intuitive, and easy to use data structures for manipulating and processing structured data."
266,Made in Africa,bangajs,banga-cli,https://github.com/bangajs/banga-cli,145,7,EJS,BàngáJS is a CLI generator for scaffolding ExpressJS applications with speed and efficiency.
267,Net neutrality,EFForg,action-center-platform,https://github.com/EFForg/action-center-platform,402,65,Ruby,The EFF Action Center Platform
268,Net neutrality,fightforthefuture,battleforthenet,https://github.com/fightforthefuture/battleforthenet,247,45,HTML,No Description
269,Net neutrality,fightforthefuture,battleforthenet-widget,https://github.com/fightforthefuture/battleforthenet-widget,662,122,JavaScript,Embed this widget on your site and help save net neutrality!
270,Net neutrality,mariechatfield,call-my-congress,https://github.com/mariechatfield/call-my-congress,170,14,HTML,DEPRECATED. Simple app that displays contact information for US Congress representatives by district.
271,Net neutrality,mozilla,advocacy.mozilla.org,https://github.com/mozilla/advocacy.mozilla.org,173,34,JavaScript,No Description
272,Net neutrality,panxzz,NN-blackout,https://github.com/panxzz/NN-blackout,113,6,JavaScript,Purposefully slows loading of webpages to simulate what the internet would look like without Net Neutrality
273,Net neutrality,j2kao,fcc_nn_research,https://github.com/j2kao/fcc_nn_research,157,24,Jupyter Notebook,(somewhat) cleaned-up notebooks used in researching public comments for FCC Proceeding 17-108 (Net Neutrality Repeal)
274,Net neutrality,berkmancenter,internet_monitor,https://github.com/berkmancenter/internet_monitor,190,20,HTML,"The Internet Monitor is a research project to evaluate, describe, and summarize the means, mechanisms, and extent of Internet content controls and Internet activity around the world."
275,Net neutrality,ahmia,ahmia-site,https://github.com/ahmia/ahmia-site,308,62,Python,Ahmia.fi - Hidden service search engine
276,Open data,GSA,data,https://github.com/GSA/data,1978,293,HTML,Assorted data from the General Services Administration.
277,Open data,unitedstates,congress-legislators,https://github.com/unitedstates/congress-legislators,1860,496,Python,"Members of the United States Congress, 1789-Present, in YAML/JSON/CSV, as well as committees, presidents, and vice presidents."
278,Open data,Chicago,food-inspections-evaluation,https://github.com/Chicago/food-inspections-evaluation,381,132,HTML,This repository contains the code to generate predictions of critical violations at food establishments in Chicago. It also contains the results of an evaluation of the effectiveness of those predi…
279,Open data,OpenExoplanetCatalogue,open_exoplanet_catalogue,https://github.com/OpenExoplanetCatalogue/open_exoplanet_catalogue,918,214,Python,The main data repository for the Open Exoplanet Catalogue
280,Open data,cernopendata,opendata.cern.ch,https://github.com/cernopendata/opendata.cern.ch,588,141,Python,Source code for the CERN Open Data portal
281,Open data,openaddresses,openaddresses,https://github.com/openaddresses/openaddresses,2595,867,JavaScript,A repository of global open address data.
282,Open data,APIs-guru,openapi-directory,https://github.com/APIs-guru/openapi-directory,3234,546,not specified,🌐 Wikipedia for Web APIs. Directory of REST API definitions in OpenAPI 2.0/3.x format
283,Open data,whosonfirst-data,whosonfirst-data,https://github.com/whosonfirst-data/whosonfirst-data,351,6,not specified,Who's On First is a gazetteer of places.
284,Open source organizations,adobe,adobe.github.com,https://github.com/adobe/adobe.github.com,1243,341,CSS,Adobe central hub for open source
285,Open source organizations,RedHatOfficial,RedHatOfficial.github.io,https://github.com/RedHatOfficial/RedHatOfficial.github.io,581,219,SCSS,The official Red Hat project page.
286,Open source organizations,cfpb,cfpb.github.io,https://github.com/cfpb/cfpb.github.io,311,107,CSS,A site for the CFPB to share and discuss its technology work with the world.
287,Open source organizations,Netflix,netflix.github.com,https://github.com/Netflix/netflix.github.com,1382,447,HTML,No Description
288,Open source organizations,Esri,esri.github.io,https://github.com/Esri/esri.github.io,494,122,JavaScript,Esri GitHub landing page
289,Open source organizations,square,square.github.io,https://github.com/square/square.github.io,1058,267,CSS,"A simple, static portal which outlines our open source offerings."
290,Open source organizations,twitter,opensource-website,https://github.com/twitter/opensource-website,2686,775,SCSS,"Twitter's open source website, identifying projects we've released, organizations we support, and the work we do to support open source."
291,Open source organizations,guardian,guardian.github.com,https://github.com/guardian/guardian.github.com,303,59,HTML,Guardian github pages
292,Open source organizations,Yelp,yelp.github.io,https://github.com/Yelp/yelp.github.io,680,119,JavaScript,A showcase of projects we've open sourced and open source projects we use
293,Open source organizations,IBM,ibm.github.io,https://github.com/IBM/ibm.github.io,1086,246,JavaScript,IBM Open Source at GitHub
294,Open source organizations,microsoft,microsoft.github.io,https://github.com/microsoft/microsoft.github.io,2239,511,HTML,Microsoft on GitHub
295,Open source organizations,artsy,artsy.github.io,https://github.com/artsy/artsy.github.io,986,237,SCSS,The Artsy Engineering Open-Source Developers Blog
296,Open source organizations,OSGeo,osgeo,https://github.com/OSGeo/osgeo,286,64,CSS,The Open Source Geospatial Foundation is not-for-profit organization to empower everyone with open source geospatial. Directly supports projects as an outreach and advocacy organization providing f…
297,Open source organizations,godaddy,godaddy.github.io,https://github.com/godaddy/godaddy.github.io,122,11,HTML,Deprecated version of GoDaddy blog. See https://github.com/godaddy/engineering.
298,Open source organizations,cloudflare,cloudflare.github.io,https://github.com/cloudflare/cloudflare.github.io,280,31,CSS,Cloudflare ❤️ Open Source
299,Open source organizations,eleme,eleme.github.io,https://github.com/eleme/eleme.github.io,96,16,CSS,Eleme Developers Homepage
300,Open source organizations,didi,didi.github.io,https://github.com/didi/didi.github.io,123,24,HTML,didi website
301,Open source organizations,alibaba,alibaba.github.com,https://github.com/alibaba/alibaba.github.com,272,63,CSS,The alibaba github homepage.
302,Open source organizations,google,google.github.io,https://github.com/google/google.github.io,361,78,HTML,No Description
303,Open source organizations,proyecto26,proyecto26.github.io,https://github.com/proyecto26/proyecto26.github.io,44,4,JavaScript,The Proyecto26 github homepage.
304,Policies,github,balanced-employee-ip-agreement,https://github.com/github/balanced-employee-ip-agreement,2051,172,not specified,"GitHub's employee intellectual property agreement, open sourced and reusable"
305,Policies,github,site-policy,https://github.com/github/site-policy,1548,655,not specified,"Collaborative development on GitHub's site policies, procedures, and guidelines"
306,Policies,hackdaymanifesto,site,https://github.com/hackdaymanifesto/site,384,139,HTML,The Hackday Manifesto
307,Policies,BetaNYC,Bike-Share-Data-Best-Practices,https://github.com/BetaNYC/Bike-Share-Data-Best-Practices,220,49,not specified,This repo is designed to gather bike share data best practices AND socialize a list of open and free tools to hack on bike share data. This grows from Council Member Brad Lander introducing Int. No…
308,Policies,project-open-data,project-open-data.github.io,https://github.com/project-open-data/project-open-data.github.io,1259,624,HTML,Open Data Policy — Managing Information as an Asset
309,Policies,usds,playbook,https://github.com/usds/playbook,1331,356,CSS,The Digital Services Playbook
310,Policies,18F,open-source-policy,https://github.com/18F/open-source-policy,280,102,not specified,This repository contains the official Open Source Policy of 18F
311,Policies,WhiteHouse,fitara,https://github.com/WhiteHouse/fitara,95,34,CSS,Management and Oversight of Federal IT Resources
312,Policies,GSA,https,https://github.com/GSA/https,235,112,Python,"The HTTPS-Only Standard for federal domains (M-15-13), and implementation guidance."
313,Policies,CommerceGov,Policies-and-Guidance,https://github.com/CommerceGov/Policies-and-Guidance,80,27,not specified,Official instructions that are directly relevant to work performed by @CommerceGov on Github.
314,Policies,github,site-policy,https://github.com/github/site-policy,1548,655,not specified,"Collaborative development on GitHub's site policies, procedures, and guidelines"
315,Policies,Medium,medium-policy,https://github.com/Medium/medium-policy,234,71,not specified,Medium’s Policies and Guidelines.
316,Policies,Automattic,legalmattic,https://github.com/Automattic/legalmattic,663,257,not specified,Democratizing WordPress.com legalese since 2014!
317,Policies,divegeek,uscode,https://github.com/divegeek/uscode,771,61,Python,The United States Code
318,Policies,seriesseed,equity,https://github.com/seriesseed/equity,1209,341,not specified,Series Seed Preferred Stock
319,Software productivity tools,ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,159802,25308,Shell,"🙃 A delightful community-driven (with 2,100+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python…"
320,Software productivity tools,microsoft,terminal,https://github.com/microsoft/terminal,89157,7829,C++,"The new Windows Terminal and the original Windows console host, all in the same place!"
321,Software productivity tools,ggreer,the_silver_searcher,https://github.com/ggreer/the_silver_searcher,24947,1388,C,"A code-searching tool similar to ack, but faster."
322,Software productivity tools,arc90,git-sweep,https://github.com/arc90/git-sweep,2434,132,Python,A command-line tool that helps you clean up Git branches that have been merged into master.
323,Software productivity tools,bhollis,jsonview,https://github.com/bhollis/jsonview,1378,221,TypeScript,A web extension that helps you view JSON documents in the browser. 
324,Software productivity tools,ShareX,ShareX,https://github.com/ShareX/ShareX,24524,2886,C#,"ShareX is a free and open source program that lets you capture or record any area of your screen and share it with a single press of a key. It also allows uploading images, text or other types of f…"
325,Software productivity tools,sindresorhus,quick-look-plugins,https://github.com/sindresorhus/quick-look-plugins,17389,557,not specified,List of useful Quick Look plugins for developers
326,Software productivity tools,rtyley,bfg-repo-cleaner,https://github.com/rtyley/bfg-repo-cleaner,9793,524,Scala,"Removes large or troublesome blobs like git-filter-branch does, but faster. And written in Scala"
327,Software productivity tools,mhagger,git-imerge,https://github.com/mhagger/git-imerge,2585,136,Python,Incremental merge for git
328,Software productivity tools,eddiezane,lunchy,https://github.com/eddiezane/lunchy,2893,125,Ruby,A friendly wrapper for launchctl
329,Software productivity tools,awaescher,RepoZ,https://github.com/awaescher/RepoZ,890,82,C#,👨‍💻 A zero-conf git repository hub for Windows and macOS with Windows Explorer- & CLI-enhancements
330,Software productivity tools,sharkdp,fd,https://github.com/sharkdp/fd,27797,702,Rust,"A simple, fast and user-friendly alternative to 'find'"
331,Software productivity tools,BurntSushi,ripgrep,https://github.com/BurntSushi/ripgrep,38320,1711,Rust,ripgrep recursively searches directories for a regex pattern while respecting your gitignore
332,Software productivity tools,jqlang,jq,https://github.com/jqlang/jq,25155,1448,C,Command-line JSON processor
333,Software productivity tools,alacritty,alacritty,https://github.com/alacritty/alacritty,47185,2782,Rust,"A cross-platform, OpenGL terminal emulator."
334,Software productivity tools,ajeetdsouza,zoxide,https://github.com/ajeetdsouza/zoxide,10845,384,Rust,A smarter cd command. Supports all major shells.
335,Software productivity tools,Slackadays,Clipboard,https://github.com/Slackadays/Clipboard,3539,97,C++,"😎 Your new, 𝘳𝘪𝘥𝘰𝘯𝘬𝘶𝘭𝘪𝘤𝘪𝘰𝘶𝘴𝘭𝘺 smart clipboard manager 🧠"
336,Software productivity tools,devtron-labs,devtron,https://github.com/devtron-labs/devtron,3288,341,Go,Tool integration platform for Kubernetes
